image_name,class_label,gt_crop,gt_disease,agent,pred_crop,pred_disease,reasoning,confidence,crop_correct,disease_correct,both_correct,parse_failed,reasoning_quality,plausibility
Mg_035.jpg,"Citrus,Magnesium Deficiency",Citrus,Magnesium Deficiency,llava:7b,Citrus,Greasy Spot,"The image shows a citrus leaf with a distinct greasy spot pattern, which is indicative of greasy spot disease. This disease is characterized by the presence of yellowish-green spots on the leaves, which can be a sign of nutrient deficiency, particularly iron. The pattern of the spots and the discoloration of the leaf tissue are consistent with greasy spot disease.",0.9,1,0,0,0,,
HLB_040.jpg,"Citrus,Greening",Citrus,Greening,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy appearance. There are no visible signs of disease such as discoloration, spots, or distortion. The leaf is a vibrant green color, which is typical for citrus leaves. The edges of the leaf are crisp and well-defined, and there are no visible signs of pests or nutrient deficiencies. The confidence level is 1.0 as there is no evidence of disease or nutrient deficiency in the image provided.",,1,0,0,0,,
N_046.jpg,"Citrus,Nitrogen Deficiency",Citrus,Nitrogen Deficiency,llava:7b,Citrus,Healthy,"The image shows a single citrus leaf with a bright green color, which is typical for healthy citrus leaves. There are no visible signs of disease or nutrient deficiency. The leaf appears to be in good condition, with no discoloration, spots, or other abnormalities that would indicate a disease or nutrient issue. The confidence level is 1.0, as the leaf is clearly healthy and there is no evidence of disease or nutrient deficiency.",,1,0,0,0,,
Greasy_spot_018.jpg,"Citrus,Greasy Spot",Citrus,Greasy Spot,llava:7b,Citrus,Greasy Spot,"The image shows a citrus leaf with a greasy spot, which is a characteristic symptom of Greasy Spot disease. This disease is caused by the bacterium Pseudomonas syringae and is characterized by the production of a slimy, greasy substance on the underside of the leaf. The presence of this slimy substance is a clear indication of the disease.",1.0,1,1,1,0,,
Mg_094.jpg,"Citrus,Magnesium Deficiency",Citrus,Magnesium Deficiency,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy appearance, no visible signs of disease or nutrient deficiency. The leaf is a vibrant green color, which is typical for citrus leaves, and there are no visible spots, discolorations, or other abnormalities that would indicate a disease or nutrient issue. The confidence level is 1.0, as the leaf appears to be in good health.",,1,0,0,0,,
Healthy_090.jpg,"Citrus,Healthy",Citrus,Healthy,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy appearance, no visible signs of disease or nutrient deficiency. The leaf is a vibrant green color, which is typical for citrus leaves, and there are no discolorations, spots, or other abnormalities that would indicate a disease or nutrient deficiency. The leaf's structure and coloration suggest it is in good health. Confidence: 1.0",,1,1,1,0,,
Mn_002.jpg,"Citrus,Manganese Deficiency",Citrus,Manganese Deficiency,llava:7b,Citrus,Greasy Spot,"The image shows a citrus leaf with a distinct greasy spot pattern, which is a characteristic symptom of Greasy Spot disease. This disease is caused by the bacterium Pseudomonas syringae pv. syringae and is characterized by the formation of a greasy, water-soaked spot on the leaf surface. The pattern of the spots and the water-soaked appearance of the affected areas are indicative of this disease.",1.0,1,0,0,0,,
HLB_002.jpg,"Citrus,Greening",Citrus,Greening,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy green color and no visible signs of disease or damage. The leaf appears to be in good condition, with no discoloration, spots, or other indicators of a disease or nutrient deficiency. The confidence level is high, as there is no visual evidence of any issues with the leaf.",,1,0,0,0,,
Red_scale_sequelae_055.jpg,"Citrus,Red Scale Sequelae",Citrus,Red Scale Sequelae,llava:7b,Citrus,Healthy,"The image shows a citrus leaf, which appears to be healthy with no visible signs of disease or nutrient deficiency. The leaf is green and has a normal structure, with no discoloration or abnormal growth patterns that would indicate a specific disease or nutrient deficiency. The confidence level is high, as the leaf looks healthy and there are no clear indications of any issues.",,1,0,0,0,,
Red_scale_024.jpg,"Citrus,Red Scale",Citrus,Red Scale,llava:7b,Citrus,Greasy Spot,"The image shows a leaf with a greasy spot, which is a characteristic symptom of Greasy Spot disease in citrus crops. The greasy spot is a yellow, oily discoloration that can occur due to a variety of factors, including nutrient deficiencies or pests. The presence of this symptom on the leaf suggests that the plant may be affected by Greasy Spot disease. Confidence: 1.0",,1,0,0,0,,
Texas_mite_071.jpg,"Citrus,Texas Mite",Citrus,Texas Mite,llava:7b,Citrus,Healthy,"The image shows a citrus leaf, which appears to be healthy with no visible signs of disease or nutrient deficiency. The leaf is a vibrant green color, which is typical for citrus leaves, and the edges are crisp and well-defined. There are no visible spots, discolorations, or other abnormalities that would indicate a disease or nutrient deficiency. The confidence level is high, as there is no evidence of any issues with the leaf.",,1,0,0,0,,
Mn_025.jpg,"Citrus,Manganese Deficiency",Citrus,Manganese Deficiency,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a yellow spot on it. This spot is not indicative of any common citrus diseases such as Greasy Spot, Greening, Iron Deficiency, Leaf Miner, Magnesium Deficiency, Manganese Deficiency, Nitrogen Deficiency, Red Scale, Red Scale Sequelae, Texas Mite, or Zinc Deficiency. The leaf appears to be in good condition with no visible signs of disease or nutrient deficiency. The confidence level is 1.0.",,1,0,0,0,,
Mn_018.jpg,"Citrus,Manganese Deficiency",Citrus,Manganese Deficiency,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a yellow spot on it. This spot is characteristic of a common citrus disease known as ""Greasy Spot."" However, the spot is small and does not show the typical greasy texture or the concentric circles that are often associated with Greasy Spot. Additionally, there are no other symptoms or signs of stress or disease visible on the leaf. The leaf appears to be in good condition, with no visible damage or discoloration. The confidence level for this analysis is high, as the absence of typical Greasy Spot symptoms and the overall health of the leaf suggest that the plant is not currently affected by this disease.",,1,0,0,0,,
Greasy_spot_095.jpg,"Citrus,Greasy Spot",Citrus,Greasy Spot,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with no visible signs of disease or nutrient deficiency. The leaf appears to be a healthy green color, which is typical for citrus leaves. There are no spots, discolorations, or other abnormalities that would indicate a disease or nutrient deficiency. The leaf's structure and coloration are consistent with what one would expect for a healthy citrus leaf. Confidence: 1.0",,1,0,0,0,,
Fe_006.jpg,"Citrus,Iron Deficiency",Citrus,Iron Deficiency,llava:7b,Citrus,Healthy,"The image shows a single citrus leaf with a healthy appearance. There are no visible signs of disease or nutrient deficiency. The leaf is a vibrant green color, which is typical for citrus leaves, and there are no discolorations, spots, or other abnormalities that would indicate a disease or nutrient issue. The confidence level is 1.0, as the leaf appears to be in excellent condition.",,1,0,0,0,,
HLB_013.jpg,"Citrus,Greening",Citrus,Greening,llava:7b,Citrus,Leaf Miner,"The image shows a citrus leaf with a pattern of yellow and green spots, which is characteristic of leaf miner damage. The spots are irregular and appear to be feeding sites, which are typical of insects like leaf miners. The damage is visible on both the upper and lower surfaces of the leaf.",0.9,1,0,0,0,,
Texas_mite_002.jpg,"Citrus,Texas Mite",Citrus,Texas Mite,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy appearance, no visible signs of disease or nutrient deficiency. The leaf is a vibrant green color, which is typical for citrus leaves. The veins are distinct, and there are no visible spots, discolorations, or other abnormalities that would indicate a disease or nutrient deficiency. The overall condition of the leaf suggests it is healthy and not affected by any of the diseases listed in the given categories.",,1,0,0,0,,
Texas_mite_056.jpg,"Citrus,Texas Mite",Citrus,Texas Mite,llava:7b,Citrus,Healthy,"The image shows a single citrus leaf with a distinct, elongated shape and a glossy surface, which is typical for citrus leaves. There are no visible signs of disease or damage, such as discoloration, spots, or holes. The leaf appears to be in good condition, with no visible symptoms of any of the diseases listed. The confidence level is high, as the absence of disease is clearly evident.",,1,0,0,0,,
N_026.jpg,"Citrus,Nitrogen Deficiency",Citrus,Nitrogen Deficiency,llava:7b,Citrus,Healthy,"The image shows a citrus leaf with a healthy appearance. There are no visible signs of disease or nutrient deficiency. The leaf has a vibrant green color, which is typical for citrus leaves, and there are no visible spots, discolorations, or other abnormalities that would indicate a disease or nutrient deficiency. The leaf's structure appears normal, with a well-defined cuticle, healthy veins, and a symmetrical arrangement of cells. Confidence: 1.0",,1,0,0,0,,
