image_name,class_label,gt_crop,gt_disease,r3_consensus_crop,r3_consensus_disease,r3_consensus_diseased,r3_mean_confidence,r3_crop_agreement,r3_disease_agreement,r1_consensus_crop,r1_consensus_disease,r1_consensus_diseased,r1_mean_confidence,r1_crop_agreement,r1_disease_agreement,baseline_crop_correct,baseline_disease_correct,baseline_both_correct,consensus_crop_correct,consensus_disease_correct,consensus_both_correct,r1_qwen2.5vl:7b_crop,r1_qwen2.5vl:7b_disease,r1_qwen2.5vl:7b_both_correct,r2_qwen2.5vl:7b_crop,r2_qwen2.5vl:7b_disease,r2_qwen2.5vl:7b_both_correct,r3_qwen2.5vl:7b_crop,r3_qwen2.5vl:7b_disease,r3_qwen2.5vl:7b_both_correct,r2_qwen2.5vl:7b_influenced_by,r3_qwen2.5vl:7b_influenced_by,r2_qwen2.5vl:7b_disease_changed,r3_qwen2.5vl:7b_disease_changed,r1_qwen2.5vl:3b_crop,r1_qwen2.5vl:3b_disease,r1_qwen2.5vl:3b_both_correct,r2_qwen2.5vl:3b_crop,r2_qwen2.5vl:3b_disease,r2_qwen2.5vl:3b_both_correct,r3_qwen2.5vl:3b_crop,r3_qwen2.5vl:3b_disease,r3_qwen2.5vl:3b_both_correct,r2_qwen2.5vl:3b_influenced_by,r3_qwen2.5vl:3b_influenced_by,r2_qwen2.5vl:3b_disease_changed,r3_qwen2.5vl:3b_disease_changed,r1_llava:7b_crop,r1_llava:7b_disease,r1_llava:7b_both_correct,r2_llava:7b_crop,r2_llava:7b_disease,r2_llava:7b_both_correct,r3_llava:7b_crop,r3_llava:7b_disease,r3_llava:7b_both_correct,r2_llava:7b_influenced_by,r3_llava:7b_influenced_by,r2_llava:7b_disease_changed,r3_llava:7b_disease_changed
g (191).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,None,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,None,None,1,0
95.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,1.0,Citrus,Black Spot,1,0.9166666666666666,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Both qwen2.5vl:7b and llava:7b,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Qwen2.5vl:7b,None,0,0
36.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,qwen2.5vl:3b,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,1,Citrus,Greening,0,Citrus,Greening,0,Qwen2.5vl:7b,None,1,0
9.png.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.95,1.0,1.0,1,1,1,1,1,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,None,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,None,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,qwen2.5vl:7b and qwen2.5vl:3b,qwen2.5vl:7b and qwen2.5vl:3b,0,0
17.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Greening,1,0.9666666666666667,1.0,0.675,Citrus,Healthy,0,0.875,1.0,0.662,1,1,1,1,0,0,Citrus,Healthy,1,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,qwen2.5vl:3b,1,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,qwen2.5vl:7b and llava:7b,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,qwen2.5vl:7b,qwen2.5vl:7b,0,0
25.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Greening,1,0.6666666666666666,1.0,0.662,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Black Spot,0,qwen2.5vl:7b,"<exact peer name who changed your verdict, or None>",0,1,Citrus,Healthy,1,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:7b,1,0
163.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Greening,1,0.9666666666666667,1.0,0.675,Citrus,Black Spot,1,0.875,1.0,0.338,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Greening,0,None,qwen2.5vl:3b,0,1,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,qwen2.5vl:7b,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0
g (131).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:3b,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,None,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,None,None,1,0
g (96).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,qwen2.5vl:7b,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,qwen2.5vl:3b,qwen2.5vl:3b,0,0
g (52).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9333333333333332,1.0,1.0,Citrus,Greening,1,0.8500000000000001,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:3b,qwen2.5vl:3b,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,"qwen2.5vl:3b, llava:7b",0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,None,qwen2.5vl:3b,1,0
